gloss,path
BENEDICTION(ALT),media/SG ASL Dictionary/ASL B/SG ASL Benediction (Alt) 2 2024-3-25 Upload/Documentation/SG ASL Benediction (Alt) 2 2024-3-25 CC.mp4
BATH202425,media/SG ASL Dictionary/ASL B/SG ASL Bath 2024-2-5 Upload/Documentation/SG ASL Bath 2024-2-5 CC.mp4
BEEPER(ALT)202434,media/SG ASL Dictionary/ASL B/SG ASL Beeper (Alt) 2024-3-4 Upload/Documentation/SG ASL Beeper (Alt) 2024-3-4 CC.mp4
BAG,media/SG ASL Dictionary/ASL B/SG ASL Bag 1 2023-12-15 Upload/Documentation/SG ASL Bag 1 2023-12-15 CC.mp4
BRANDNEWALT2024710,media/SG ASL Dictionary/ASL B/SG ASL Brand New Alt 2024-7-10 Upload/Documentation/SG ASL Brand New Alt 2024-7-10 CC.mp4
BRAND2024710,media/SG ASL Dictionary/ASL B/SG ASL Brand 2024-7-10 Upload/Documentation/SG ASL Brand 2024-7-10 CC.mp4
BYEOTHERVARIANT202497,media/SG ASL Dictionary/ASL B/SG ASL Bye Other Variant 2024-9-7 Upload/Documentation/SG ASL Bye Other Variant 2024-9-7 CC.mp4
BOUNCEEMAIL2024627,media/SG ASL Dictionary/ASL B/SG ASL Bounce Email 2024-6-27 Upload/Documentation/SG ASL Bounce Email 2024-6-27 CC.mp4
BARE(ALT)2024113,media/SG ASL Dictionary/ASL B/SG ASL Bare (Alt) 2024-1-13 Upload/Documentation/SG ASL Bare (Alt) 2024-1-13 CC.mp4
BAKE20231217,media/SG ASL Dictionary/ASL B/SG ASL Bake 2023-12-17 Upload/Documentation/SG ASL Bake 2023-12-17 CC.mp4
BOSTON2024624,media/SG ASL Dictionary/ASL B/SG ASL Boston 2024-6-24 Upload/Documentation/SG ASL Boston 2024-6-24 CC.mp4
BOOKEXTENDED202469,media/SG ASL Dictionary/ASL B/SG ASL Book Extended 2024-6-9 Upload/Documentation/SG ASL Book Extended 2024-6-9 CC.mp4
BALLERINA(ALT)20231219,media/SG ASL Dictionary/ASL B/SG ASL Ballerina (Alt) 2023-12-19 Upload/Documentation/SG ASL Ballerina (Alt) 2023-12-19 CC.mp4
BONDALT202466,media/SG ASL Dictionary/ASL B/SG ASL Bond Alt 2024-6-6 Upload/Documentation/SG ASL Bond Alt 2024-6-6 CC.mp4
BATHINGSUIT(2PIECE),media/SG ASL Dictionary/ASL B/SG ASL Bathing Suit (2 Piece) 2 2024-2-2 Upload/Documentation/SG ASL Bathing Suit (2 Piece) 2 2024-2-2 CC.mp4
BLAZE,media/SG ASL Dictionary/ASL B/SG ASL Blaze 1 2024-5-6 Upload/Documentation/SG ASL Blaze 1 2024-5-6 CC.mp4
BIGHEADED2024413,media/SG ASL Dictionary/ASL B/SG ASL Big Headed 2024-4-13 Upload/Documentation/SG ASL Big Headed 2024-4-13 CC.mp4
BORNAGAIN2024621,media/SG ASL Dictionary/ASL B/SG ASL Born Again 2024-6-21 Upload/Documentation/SG ASL Born Again 2024-6-21 CC.mp4
BOULDER,media/SG ASL Dictionary/ASL B/SG ASL Boulder 2 2024-6-27 Upload/Documentation/SG ASL Boulder 2 2024-6-27 CC.mp4
BABBLE,media/SG ASL Dictionary/ASL B/SG ASL Babble 1 2023-11-21 Upload/Documentation/SG ASL Babble 1 2023-11-21 CC.mp4
BEAD,media/SG ASL Dictionary/ASL B/SG ASL Bead 2 2024-2-13 Upload/Documentation/SG ASL Bead 2 2024-2-13 CC.mp4
BEARINMIND(ALT),media/SG ASL Dictionary/ASL B/SG ASL Bear in Mind (Alt) 2 2024-2-19 Upload/Documentation/SG ASL Bear in Mind (Alt) 2 2024-2-19 CC.mp4
BROTHER202485,media/SG ASL Dictionary/ASL B/SG ASL Brother 2024-8-5 Upload/Documentation/SG ASL Brother 2024-8-5 CC.mp4
BENEVOLENT(OTHERVARIANT)2024327,media/SG ASL Dictionary/ASL B/SG ASL Benevolent (Other Variant) 2024-3-27 Upload/Documentation/SG ASL Benevolent (Other Variant) 2024-3-27 CC.mp4
BLASPHEMY,media/SG ASL Dictionary/ASL B/SG ASL Blasphemy 2 2024-5-5 Upload/Documentation/SG ASL Blasphemy 2 2024-5-5 CC.mp4
BEANIE2024215,media/SG ASL Dictionary/ASL B/SG ASL Beanie 2024-2-15 Upload/Documentation/SG ASL Beanie 2024-2-15 CC.mp4
BLOODLINE,media/SG ASL Dictionary/ASL B/SG ASL Bloodline 1 2024-5-18 Upload/Documentation/SG ASL Bloodline 1 2024-5-18 CC.mp4
BATTLE(ACT)2024210,media/SG ASL Dictionary/ASL B/SG ASL Battle (Act) 2024-2-10 Upload/Documentation/SG ASL Battle (Act) 2024-2-10 CC.mp4
BREAKFAST,media/SG ASL Dictionary/ASL B/SG ASL Breakfast 2 2024-7-15 Upload/Documentation/SG ASL Breakfast 2 2024-7-15 CC.mp4
BLOODPRESSURE,media/SG ASL Dictionary/ASL B/SG ASL Blood Pressure 2 2024-5-15 Upload/Documentation/SG ASL Blood Pressure 2 2024-5-15 CC.mp4
BELITTLE(OTHER),media/SG ASL Dictionary/ASL B/SG ASL Belittle (Other) 1 2024-3-16 Upload/Documentation/SG ASL Belittle (Other) 1 2024-3-16 CC.mp4
BUSH202491,media/SG ASL Dictionary/ASL B/SG ASL Bush 2024-9-1 Upload/Documentation/SG ASL Bush 2024-9-1 CC.mp4
BAGEL(ALT),media/SG ASL Dictionary/ASL B/SG ASL Bagel (Alt) 1 2023-12-15 Upload/Documentation/SG ASL Bagel (Alt) 1 2023-12-15 CC.mp4
BREASTSTROKE2024724,media/SG ASL Dictionary/ASL B/SG ASL Breaststroke 2024-7-24 Upload/Documentation/SG ASL Breaststroke 2024-7-24 CC.mp4
BANK,media/SG ASL Dictionary/ASL B/SG ASL Bank 3 2024-1-5 Upload/Documentation/SG ASL Bank 3 2024-1-5 CC.mp4
BELOW2024320,media/SG ASL Dictionary/ASL B/SG ASL Below 2024-3-20 Upload/Documentation/SG ASL Below 2024-3-20 CC.mp4
BOILALT202463,media/SG ASL Dictionary/ASL B/SG ASL Boil Alt 2024-6-3 Upload/Documentation/SG ASL Boil Alt 2024-6-3 CC.mp4
BOARDPLANK,media/SG ASL Dictionary/ASL B/SG ASL Board Plank 1 2024-5-30 Upload/Documentation/SG ASL Board Plank 1 2024-5-30 CC.mp4
BIOSPY,media/SG ASL Dictionary/ASL B/SG ASL Biospy 2 2024-4-23 Upload/Documentation/SG ASL Biospy 2 2024-4-23 CC.mp4
BREAKOUT2024722,media/SG ASL Dictionary/ASL B/SG ASL Breakout 2024-7-22 Upload/Documentation/SG ASL Breakout 2024-7-22 CC.mp4
BORDER2024619,media/SG ASL Dictionary/ASL B/SG ASL Border 2024-6-19 Upload/Documentation/SG ASL Border 2024-6-19 CC.mp4
BEIGE(ALT),media/SG ASL Dictionary/ASL B/SG ASL Beige (Alt) 2 2024-3-14 Upload/Documentation/SG ASL Beige (Alt) 2 2024-3-14 CC.mp4
BEDROOM(VARIANT)2024229,media/SG ASL Dictionary/ASL B/SG ASL Bedroom (Variant) 2024-2-29 Upload/Documentation/SG ASL Bedroom (Variant) 2024-2-29 CC.mp4
BREAKFASTTIME2024716,media/SG ASL Dictionary/ASL B/SG ASL Breakfast Time 2024-7-16 Upload/Documentation/SG ASL Breakfast Time 2024-7-16 CC.mp4
BLAMEME,media/SG ASL Dictionary/ASL B/SG ASL Blame Me 1 2024-5-2 Upload/Documentation/SG ASL Blame Me 1 2024-5-2 CC.mp4
BANTER,media/SG ASL Dictionary/ASL B/SG ASL Banter 2 2024-1-7 Upload/Documentation/SG ASL Banter 2 2024-1-7 CC.mp4
BAPTISM,media/SG ASL Dictionary/ASL B/SG ASL Baptism 3 2024-1-9 Upload/Documentation/SG ASL Baptism 3 2024-1-9 CC.mp4
BADBREATH(ALT)20231212,media/SG ASL Dictionary/ASL B/SG ASL Bad Breath (Alt) 2023-12-12 Upload/Documentation/SG ASL Bad Breath (Alt) 2023-12-12 CC.mp4
BROWNSUGARALT,media/SG ASL Dictionary/ASL B/SG ASL Brown Sugar Alt 2 2024-8-6 Upload/Documentation/SG ASL Brown Sugar Alt 2 2024-8-6 CC.mp4
BALLERINA20231219,media/SG ASL Dictionary/ASL B/SG ASL Ballerina 2023-12-19 Upload/Documentation/SG ASL Ballerina 2023-12-19 CC.mp4
BROOCHALT202483,media/SG ASL Dictionary/ASL B/SG ASL Brooch Alt 2024-8-3 Upload/Documentation/SG ASL Brooch Alt 2024-8-3 CC.mp4
BOUNCEALT2024627,media/SG ASL Dictionary/ASL B/SG ASL Bounce Alt 2024-6-27 Upload/Documentation/SG ASL Bounce Alt 2024-6-27 CC.mp4
BREAK,media/SG ASL Dictionary/ASL B/SG ASL Break 2 2024-7-14 Upload/Documentation/SG ASL Break 2 2024-7-14 CC.mp4
BACKDOOR,media/SG ASL Dictionary/ASL B/SG ASL Backdoor 2 2023-12-3 Upload/Documentation/SG ASL Backdoor 2 2023-12-3 CC.mp4
BASTARD,media/SG ASL Dictionary/ASL B/SG ASL Bastard 2 2024-1-30 Upload/Documentation/SG ASL Bastard 2 2024-1-30 CC.mp4
BRIEFALT2024727,media/SG ASL Dictionary/ASL B/SG ASL Brief Alt 2024-7-27 Upload/Documentation/SG ASL Brief Alt 2024-7-27 CC.mp4
BLUESADALT2024523,media/SG ASL Dictionary/ASL B/SG ASL Blue Sad Alt 2024-5-23 Upload/Documentation/SG ASL Blue Sad Alt 2024-5-23 CC.mp4
BUT202495,media/SG ASL Dictionary/ASL B/SG ASL But 2024-9-5 Upload/Documentation/SG ASL But 2024-9-5 CC.mp4
BURY,media/SG ASL Dictionary/ASL B/SG ASL Bury 2 2024-9-1 Upload/Documentation/SG ASL Bury 2 2024-9-1 CC.mp4
BEENAWHILE202433,media/SG ASL Dictionary/ASL B/SG ASL Been A while 2024-3-3 Upload/Documentation/SG ASL Been A while 2024-3-3 CC.mp4
BEATAROUNDTHEBUSH,media/SG ASL Dictionary/ASL B/SG ASL Beat Around the Bush 1 2024-2-23 Upload/Documentation/SG ASL Beat Around the Bush 1 2024-2-23 CC.mp4
BLACKPANTHER2024429,media/SG ASL Dictionary/ASL B/SG ASL Black Panther 2024-4-29 Upload/Documentation/SG ASL Black Panther 2024-4-29 CC.mp4
BLINK2024511,media/SG ASL Dictionary/ASL B/SG ASL Blink 2024-5-11 Upload/Documentation/SG ASL Blink 2024-5-11 CC.mp4
